,rewards,method
95,-199.42,2 step SARSA
96,-199.42,2 step SARSA
97,-199.42,2 step SARSA
98,-199.42,2 step SARSA
99,-199.42,2 step SARSA
100,-199.42,2 step SARSA
101,-199.42,2 step SARSA
102,-199.42,2 step SARSA
103,-199.42,2 step SARSA
104,-199.42,2 step SARSA
105,-199.42,2 step SARSA
106,-199.42,2 step SARSA
107,-199.42,2 step SARSA
108,-199.42,2 step SARSA
109,-198.68,2 step SARSA
110,-198.68,2 step SARSA
111,-198.68,2 step SARSA
112,-198.68,2 step SARSA
113,-198.68,2 step SARSA
114,-198.68,2 step SARSA
115,-198.68,2 step SARSA
116,-198.68,2 step SARSA
117,-198.68,2 step SARSA
118,-198.68,2 step SARSA
119,-198.68,2 step SARSA
120,-198.68,2 step SARSA
121,-198.68,2 step SARSA
122,-199.26,2 step SARSA
123,-199.26,2 step SARSA
124,-199.26,2 step SARSA
125,-199.26,2 step SARSA
126,-199.26,2 step SARSA
127,-199.26,2 step SARSA
128,-199.26,2 step SARSA
129,-199.26,2 step SARSA
130,-199.26,2 step SARSA
131,-199.26,2 step SARSA
132,-199.26,2 step SARSA
133,-199.26,2 step SARSA
134,-199.26,2 step SARSA
135,-199.26,2 step SARSA
136,-199.26,2 step SARSA
137,-199.26,2 step SARSA
138,-199.26,2 step SARSA
139,-199.26,2 step SARSA
140,-199.26,2 step SARSA
141,-199.26,2 step SARSA
142,-199.26,2 step SARSA
143,-199.26,2 step SARSA
144,-199.26,2 step SARSA
145,-199.26,2 step SARSA
146,-199.26,2 step SARSA
147,-199.26,2 step SARSA
148,-199.26,2 step SARSA
149,-199.26,2 step SARSA
150,-199.26,2 step SARSA
151,-199.26,2 step SARSA
152,-199.26,2 step SARSA
153,-199.26,2 step SARSA
154,-199.26,2 step SARSA
155,-199.26,2 step SARSA
156,-199.26,2 step SARSA
157,-199.26,2 step SARSA
158,-199.26,2 step SARSA
159,-200.0,2 step SARSA
160,-200.0,2 step SARSA
161,-200.0,2 step SARSA
162,-200.0,2 step SARSA
163,-200.0,2 step SARSA
164,-200.0,2 step SARSA
165,-200.0,2 step SARSA
166,-200.0,2 step SARSA
167,-200.0,2 step SARSA
168,-200.0,2 step SARSA
169,-199.24,2 step SARSA
170,-199.24,2 step SARSA
171,-199.24,2 step SARSA
172,-199.24,2 step SARSA
173,-199.24,2 step SARSA
174,-199.24,2 step SARSA
175,-199.24,2 step SARSA
176,-199.24,2 step SARSA
177,-199.24,2 step SARSA
178,-199.24,2 step SARSA
179,-199.24,2 step SARSA
180,-199.24,2 step SARSA
181,-199.24,2 step SARSA
182,-199.24,2 step SARSA
183,-199.24,2 step SARSA
184,-199.24,2 step SARSA
185,-198.64,2 step SARSA
186,-198.64,2 step SARSA
187,-198.64,2 step SARSA
188,-198.64,2 step SARSA
189,-198.64,2 step SARSA
190,-198.64,2 step SARSA
191,-198.64,2 step SARSA
192,-198.64,2 step SARSA
193,-198.64,2 step SARSA
194,-198.64,2 step SARSA
195,-198.64,2 step SARSA
196,-198.64,2 step SARSA
197,-198.64,2 step SARSA
198,-198.64,2 step SARSA
199,-198.64,2 step SARSA
200,-198.64,2 step SARSA
201,-198.64,2 step SARSA
202,-198.64,2 step SARSA
203,-198.64,2 step SARSA
204,-198.64,2 step SARSA
205,-198.64,2 step SARSA
206,-198.64,2 step SARSA
207,-198.64,2 step SARSA
208,-198.64,2 step SARSA
209,-198.64,2 step SARSA
210,-198.64,2 step SARSA
211,-198.64,2 step SARSA
212,-198.64,2 step SARSA
213,-198.64,2 step SARSA
214,-198.64,2 step SARSA
215,-198.64,2 step SARSA
216,-198.64,2 step SARSA
217,-198.64,2 step SARSA
218,-198.64,2 step SARSA
219,-199.4,2 step SARSA
220,-199.4,2 step SARSA
221,-198.78,2 step SARSA
